_id,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
122566,122566,Fatal,2009,February,Wednesday,18,Fall from vehicle,Single Vehicle,150.766931213466,-23.0704211427948,Farnborough Beach Rd,,,Farnborough,Livingstone Shire,4703,Yeppoon,Capricornia,Central,Central,Central Queensland,Rockhampton Region - North,Rockhampton,Central Queensland,Outer Regional,Keppel,Capricornia,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Unsealed - Dry,Clear,Dawn/Dusk,Straight,Level,901,Pass & Misc: Fell In/From Vehicle,21: Other,S,1,0,0,0,1,1,0,0,0,0,0,0
122605,122605,Fatal,2011,November,Monday,16,Rear-end,Multi-Vehicle,146.044207498591,-17.68091004691,Bruce Hwy,,Bruce Highway (Ingham - Innisfail),Cowley,Cassowary Coast Region,4871,Mourilyan,Far North,Far Northern,Northern,North Queensland,Johnstone,Innisfail - Cassowary Coast,Cairns,Outer Regional,Hill,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,302,Vehs Same Direction: Left Rear,04: Rear-end,N,1,0,0,0,1,1,0,0,0,0,0,1
122610,122610,Fatal,2011,November,Wednesday,21,Hit pedestrian,Hit pedestrian,152.773848911471,-27.6434676952343,Banksia Dr,,,Raceview,Ipswich City,4305,Yamanto,Ipswich,Southern,SEQ South,Metropolitan,Raceview,Ipswich Inner,Ipswich,Major Cities,Ipswich,Blair,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Grade,004,Pedn: Play; Work; Stand; Lie On Cway,12: Pedestrian,S,1,0,0,0,1,0,0,0,0,0,1,1
122611,122611,Fatal,2011,November,Wednesday,13,Angle,Multi-Vehicle,151.802238918174,-27.5443021267374,Toowoomba - Cecil Plains Rd,,Toowoomba - Cecil Plains Road,Wellcamp,Toowoomba Region,4350,Oakey,Darling Downs,Southern,Southern,Southern Queensland,Toowoomba - West,Toowoomba,Toowoomba,Inner Regional,Condamine,Groom,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,506,Vehs Overtaking: Overtake-Right Turn,09: Overtaking Same Direction,W,2,1,0,0,3,2,0,0,0,0,0,0
122612,122612,Fatal,2011,November,Wednesday,13,Hit pedestrian,Hit pedestrian,153.031098004128,-27.386068070901,Gympie Arterial Rd,Hamilton Rd,Gympie Arterial Road,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,001,Pedn: Near Side Vehicle Hit From Right,12: Pedestrian,W,1,0,0,0,1,0,0,1,0,0,1,0
122617,122617,Fatal,2011,November,Friday,10,Angle,Multi-Vehicle,152.453214433841,-27.5661211629566,Niemeyer Rd,Warrego Hwy,Warrego Highway (Ipswich - Toowoomba),Hatton Vale,Lockyer Valley Region,4341,Laidley,Darling Downs,Southern,SEQ South,Southern Queensland,Lockyer Valley - East,Ipswich Hinterland,Ipswich,Inner Regional,Lockyer,Wright,State-controlled,Intersection - T-Junction,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,S,1,0,0,0,1,1,0,1,0,0,0,0
122618,122618,Fatal,2011,November,Saturday,15,Head-on,Multi-Vehicle,152.962264198126,-27.6350553429661,Johnson Rd,,,Forest Lake,Brisbane City,4124,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenbank Military Camp,Browns Plains,Logan - Beaudesert,Major Cities,Jordan,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,E,2,0,0,0,2,2,0,0,0,0,0,0
122619,122619,Fatal,2011,November,Sunday,11,Hit object,Single Vehicle,151.714908977792,-26.0803601327757,Stonelands Rd,,,Stonelands,South Burnett Region,4612,Proston,Darling Downs,Southern,Southern,Southern Queensland,Kingaroy Region - North,Burnett,Wide Bay,Outer Regional,Nanango,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,700,Off Path-Straight: Other,21: Other,S,1,0,0,0,1,0,1,0,0,0,0,0
123011,123011,Fatal,2009,March,Friday,0,Hit object,Single Vehicle,153.073752444848,-27.542092384421,Mt Gravatt Outlook Dr,,,Mount Gravatt,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mount Gravatt,Mt Gravatt,Brisbane - South,Major Cities,Mansfield,Bonner,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,E,1,0,0,0,1,0,1,0,0,0,0,0
123263,123263,Fatal,2007,September,Tuesday,20,Overturned,Single Vehicle,152.780555628298,-26.7138213225258,Maleny - Kenilworth Rd,,Maleny - Kenilworth Road,Elaman Creek,Sunshine Coast Region,4552,Maleny,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,20: Out of Control on Curve,W,1,0,0,0,1,0,0,1,0,0,0,0
123492,123492,Fatal,2007,July,Thursday,2,Hit object,Single Vehicle,153.09473226295,-27.5313663744472,Creek Rd,,,Mount Gravatt East,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mansfield (qld),Mt Gravatt,Brisbane - South,Major Cities,Mansfield,Bonner,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view obscured,Crest,805,Off Path-Curve: Out Of Control On Cway,20: Out of Control on Curve,S,1,3,0,0,4,1,0,0,0,0,0,0
123645,123645,Fatal,2007,April,Friday,6,Overturned,Single Vehicle,153.045364214384,-26.7656021773997,Bruce Hwy,,Bruce Highway (Brisbane - Gympie),Glenview,Sunshine Coast Region,4553,Sippy Downs,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Buderim,Fisher,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,702,Off Path-Straight: Right Off Cway,15: Off Carriageway on Straight,N,1,0,0,0,1,1,0,0,0,0,0,0
123646,123646,Fatal,2007,April,Saturday,17,Overturned,Single Vehicle,138.668706319013,-22.1027526519672,Linda Downs Rd,,,Carrandotta,Boulia Shire,4825,Dajarra,Mount Isa,Northern,Central,Central Queensland,Far Central West,Outback - South,Queensland - Outback,Very Remote,Gregory,Kennedy,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,701,Off Path-Straight: Left Off Cway,15: Off Carriageway on Straight,S,1,0,0,0,1,1,0,0,0,0,0,0
123661,123661,Fatal,2007,March,Thursday,6,Sideswipe,Multi-Vehicle,146.624579229439,-19.3216897382206,Hervey'S Range Developmental Rd,,Hervey Range Developmental Road (Townsville - Battery),Alice River,Townsville City,4817,Deeragun,Townsville,Northern,Northern,North Queensland,Bohle Plains,Townsville,Townsville,Outer Regional,Hinchinbrook,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,501,Vehs Overtaking: Head On,02: Head-on,E,1,1,0,0,2,2,0,0,0,0,0,0
123679,123679,Fatal,2007,July,Tuesday,9,Hit pedestrian,Hit pedestrian,151.927574756357,-27.5623839938883,Tor St,,Toowoomba Connection Road,Newtown,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Southern Queensland,Newtown (qld),Toowoomba,Toowoomba,Inner Regional,Toowoomba South,Groom,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,003,Pedn: Far Side Vehicle Hit From Left,12: Pedestrian,W,1,0,0,0,1,0,0,1,0,0,1,0
123866,123866,Fatal,2007,September,Friday,11,Angle,Multi-Vehicle,144.730180726531,-16.2189350997241,Peninsula Developmental Rd,,Mulligan Highway (Mount Molloy - Lakeland),Lakeland,Cook Shire,4871,Cooktown,Far North,Far Northern,Northern,North Queensland,Cape York,Far North,Queensland - Outback,Remote,Cook,Leichhardt,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,506,Vehs Overtaking: Overtake-Right Turn,09: Overtaking Same Direction,S,2,0,0,0,2,1,1,0,0,0,0,0
124119,124119,Fatal,2007,September,Tuesday,21,Overturned,Single Vehicle,148.226439540958,-21.4936015458108,Collinsville - Elphinstone Rd,,Collinsville - Elphinstone Road,Elphinstone,Isaac Region,4742,Glenden,Mackay,Central,Central,Central Queensland,Broadsound - Nebo,Bowen Basin - North,Mackay - Isaac - Whitsunday,Remote,Burdekin,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,0,0,0,1,1,0,0,0,0,0,0
124142,124142,Fatal,2008,May,Sunday,15,Fall from vehicle,Single Vehicle,148.056674052638,-22.0404641056695,Moranbah Access Rd,,,Moranbah,Isaac Region,4744,Moranbah,Mackay,Central,Central,Central Queensland,Moranbah,Bowen Basin - North,Mackay - Isaac - Whitsunday,Outer Regional,Burdekin,Capricornia,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,502,Vehs Overtaking: Out Of Control,15: Off Carriageway on Straight,N,1,0,1,0,2,0,1,0,0,0,0,0
124201,124201,Fatal,2007,January,Monday,22,Overturned,Single Vehicle,152.367228484073,-24.9053730101715,Goodwood Rd,,Goodwood Road,Woongarra,Bundaberg Region,4670,Bundaberg,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Bargara - Burnett Heads,Bundaberg,Wide Bay,Inner Regional,Bundaberg,Hinkler,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,700,Off Path-Straight: Other,21: Other,S,1,0,0,0,1,1,0,0,0,0,0,0
124348,124348,Fatal,2007,September,Saturday,11,Angle,Multi-Vehicle,152.981870632376,-27.1391274030052,Buckley Rd,Uhlmann Rd,,Burpengary East,Moreton Bay Region,4505,Deception Bay,Moreton,North Coast,SEQ North,North Coast,Burpengary - East,Caboolture,Moreton Bay - North,Major Cities,Bancroft,Longman,Locally-controlled,Intersection - Cross,Stop sign,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,W,1,0,0,0,1,2,0,0,0,0,0,0
124557,124557,Fatal,2008,January,Friday,16,Head-on,Multi-Vehicle,150.834369170731,-23.7382330354871,Bruce Hwy,,Bruce Highway (Benaraby - Rockhampton),Raglan,Gladstone Region,4697,Mount Larcom,Capricornia,Central,Central,Central Queensland,Gladstone Hinterland,Gladstone,Central Queensland,Outer Regional,Gladstone,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,2,1,0,1,4,1,0,1,0,0,0,0
124564,124564,Fatal,2008,January,Sunday,2,Hit pedestrian,Hit pedestrian,149.173473313512,-21.4592866290236,Marlborough - Sarina Rd,,Marlborough - Sarina Road,Sarina,Mackay Region,4737,Sarina,Mackay,Central,Central,Central Queensland,Sarina,Mackay,Mackay - Isaac - Whitsunday,Outer Regional,Mirani,Capricornia,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,006,Pedn: Hit Facing Traffic,12: Pedestrian,N,1,0,0,0,1,1,0,1,0,0,1,1
124581,124581,Fatal,2007,March,Sunday,0,Hit object,Single Vehicle,153.456047974956,-28.1213553207169,Angelica St,,,Elanora,Gold Coast City,4221,Palm Beach,Gold Coast,South Eastern,SEQ South,South Coast,Elanora,Coolangatta,Gold Coast,Major Cities,Currumbin,Mcpherson,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,808,Off Path-Curve: Mounts Traffic Island,19: Off Carriageway on Curve Hit Object,E,1,0,0,0,1,0,1,0,0,0,0,0
124589,124589,Fatal,2007,February,Sunday,8,Angle,Multi-Vehicle,152.592059767877,-25.3486812748581,Bruce Hwy,Gympie St,Bruce Highway (Maryborough - Gin Gin),Torbanlea,Fraser Coast Region,4662,Howard,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Burrum - Fraser,Maryborough,Wide Bay,Inner Regional,Maryborough,Hinkler,State-controlled,Intersection - T-Junction,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,W,1,1,1,0,3,1,1,0,0,0,0,0
124590,124590,Fatal,2007,February,Wednesday,10,Hit pedestrian,Hit pedestrian,153.031871456209,-27.4482170704704,O'Connell Tce,Sneyd St,,Bowen Hills,Brisbane City,4006,Fortitude Valley,North Brisbane,Brisbane,SEQ North,Metropolitan,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Major Cities,Mcconnel,Brisbane,Locally-controlled,Intersection - T-Junction,Road/Rail worker,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,004,Pedn: Play; Work; Stand; Lie On Cway,12: Pedestrian,E,1,0,0,0,1,1,0,0,0,0,1,0
124591,124591,Fatal,2007,February,Wednesday,15,Hit object,Single Vehicle,151.96405282553,-27.5447077782559,Adam St,,,North Toowoomba,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Southern Queensland,North Toowoomba - Harlaxton,Toowoomba,Toowoomba,Inner Regional,Toowoomba North,Groom,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,008,Pedn: On Ftway Hit By Vehicle On Ftway,12: Pedestrian,W,1,0,0,0,1,1,0,0,0,0,1,0
124592,124592,Fatal,2007,February,Wednesday,20,Angle,Multi-Vehicle,152.999966182047,-27.863936748546,Cedar Grove Rd,Mt Lindesay Hwy,Mount Lindesay Highway (Brisbane - Beaudesert),Cedar Grove,Logan City,4285,Jimboomba,Logan,South Eastern,SEQ South,South Coast,Jimboomba,Jimboomba,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - Cross,Stop sign,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,E,1,1,0,0,2,2,0,0,0,0,0,0
124593,124593,Fatal,2007,February,Friday,0,Hit object,Single Vehicle,153.084608967569,-27.226180765012,Clontarf - Anzac Ave Rd,Redcliffe Rd,Redcliffe Road,Kippa-ring,Moreton Bay Region,4021,Redcliffe,Moreton,North Coast,SEQ North,North Coast,Rothwell - Kippa-ring,Redcliffe,Moreton Bay - North,Major Cities,Redcliffe,Petrie,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,708,Off Path-Straight: Mounts Traffic Island,16: Off Carriageway on Straight Hit Object,S,1,1,0,0,2,1,0,0,0,0,0,0
124594,124594,Fatal,2007,February,Sunday,5,Hit object,Single Vehicle,152.154057208643,-26.169325832668,Wide Bay Hwy,,Wide Bay Highway (Gympie - Goomeri),Kinbombi,Gympie Region,4601,Kilkivan,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Kilkivan,Gympie - Cooloola,Wide Bay,Outer Regional,Nanango,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Grade,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,W,1,1,0,0,2,1,0,0,0,0,0,0
124808,124808,Fatal,2008,April,Friday,6,Head-on,Multi-Vehicle,152.962214809346,-26.8193013204902,Steve Irwin Way,,Glass House Mountains Road,Landsborough,Sunshine Coast Region,4550,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Caloundra,Fisher,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,1,1,1,0,3,4,0,0,0,0,0,0
124819,124819,Fatal,2008,January,Wednesday,11,Head-on,Multi-Vehicle,152.755439229119,-26.3699131812771,Bruce Hwy,,Cooroy - Gympie Road,Coles Creek,Gympie Region,4570,Imbil,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gympie Region,Gympie - Cooloola,Wide Bay,Inner Regional,Gympie,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,2,0,1,0,3,1,0,1,0,0,0,0
124820,124820,Fatal,2008,January,Wednesday,12,Head-on,Multi-Vehicle,152.474114387841,-25.3110740339478,Bruce Hwy,,Bruce Highway (Maryborough - Gin Gin),Cherwell,Fraser Coast Region,4660,Howard,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Burrum - Fraser,Maryborough,Wide Bay,Inner Regional,Maryborough,Hinkler,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,W,1,0,0,0,1,1,0,1,0,0,0,0
124821,124821,Fatal,2008,January,Wednesday,13,Head-on,Multi-Vehicle,153.166913335757,-27.3849850025649,Port Dr,,,Port Of Brisbane,Brisbane City,4178,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Brisbane Port - Lytton,Wynnum - Manly,Brisbane - East,Major Cities,Lytton,Bonner,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,501,Vehs Overtaking: Head On,02: Head-on,N,1,0,1,0,2,0,1,1,0,0,0,0
124832,124832,Fatal,2008,August,Friday,18,Fall from vehicle,Single Vehicle,149.147265520443,-21.2023457866444,Bruce Hwy,,Bruce Highway (St Lawrence - Mackay),Bakers Creek,Mackay Region,4740,Mackay,Mackay,Central,Central,Central Queensland,Ooralea - Bakers Creek,Mackay,Mackay - Isaac - Whitsunday,Inner Regional,Mirani,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,801,Off Path-Curve: Off Cway Right Bend,18: Off Carriageway on Curve,N,1,0,0,0,1,0,1,0,0,0,0,0
124999,124999,Fatal,2008,May,Saturday,2,Overturned,Single Vehicle,153.104584191397,-27.8264541267652,Waterford - Tamborine Rd,,Waterford - Tamborine Road,Yarrabilba,Logan City,4207,Logan Village Yarrabilba,Logan,South Eastern,SEQ South,South Coast,Jimboomba,Jimboomba,Logan - Beaudesert,Major Cities,Logan,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,805,Off Path-Curve: Out Of Control On Cway,20: Out of Control on Curve,N,1,0,0,0,1,1,0,0,0,0,0,0
125257,125257,Fatal,2007,March,Friday,14,Hit object,Single Vehicle,153.386110930643,-28.2294525784334,Currumbin Creek - Tomewin Rd,,Currumbin Creek - Tomewin Road,Currumbin Valley,Gold Coast City,4223,Coolangatta,Gold Coast,South Eastern,SEQ South,South Coast,Currumbin Valley - Tallebudgera,Mudgeeraba - Tallebudgera,Gold Coast,Inner Regional,Currumbin,Mcpherson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,S,1,0,0,0,1,1,0,0,0,0,0,0
125258,125258,Fatal,2007,March,Friday,0,Head-on,Multi-Vehicle,153.317993966908,-27.9061814999723,Siganto Dr,,,Helensvale,Gold Coast City,4212,Coomera,Gold Coast,South Eastern,SEQ South,South Coast,Helensvale,Ormeau - Oxenford,Gold Coast,Major Cities,Theodore,Fadden,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view obscured,Crest,201,Vehs Opposite Approach: Head On,02: Head-on,S,1,0,0,0,1,2,0,0,0,0,0,0
125259,125259,Fatal,2007,March,Thursday,13,Hit object,Single Vehicle,153.021697277385,-27.4792557146945,Ernest St,,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,400,Vehs Manoeuvring: Other,21: Other,S,1,1,0,0,2,1,0,0,0,0,0,0
125412,125412,Fatal,2008,April,Wednesday,20,Hit object,Single Vehicle,153.062510279992,-27.4397759264819,Kingsford Smith Dr,Riverview Tce,,Hamilton,Brisbane City,4007,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Hamilton (qld),Brisbane Inner - North,Brisbane Inner City,Major Cities,Clayfield,Brisbane,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,900,Pass & Misc: Other,21: Other,,1,0,0,0,1,1,1,0,0,0,0,0
125431,125431,Fatal,2007,November,Thursday,2,Hit object,Single Vehicle,150.741673647959,-23.1898396714813,Yeppoon - Tanby Rd,,Western Yeppoon - Emu Park Road,Tanby,Livingstone Shire,4703,Yeppoon,Capricornia,Central,Central,Central Queensland,Yeppoon,Rockhampton,Central Queensland,Inner Regional,Keppel,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,0,0,0,1,1,0,0,0,0,0,0
125454,125454,Fatal,2007,February,Friday,22,Fall from vehicle,Single Vehicle,153.068750619076,-26.6442829037797,Denna St,Traders Pl,Sunshine Motorway (Mooloolaba - Peregian),Maroochydore,Sunshine Coast Region,4558,Maroochydore,Sunshine Coast,North Coast,SEQ North,North Coast,Maroochydore - Kuluin,Maroochy,Sunshine Coast,Major Cities,Maroochydore,Fairfax,State-controlled,Intersection - Roundabout,No traffic control,0 - 50 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,705,Off Path-Straight: Out Of Control On Cway,17: Out of Control on Straight,E,1,0,0,0,1,0,1,0,0,0,0,0
125496,125496,Fatal,2007,February,Friday,1,Hit object,Single Vehicle,153.042800451021,-27.5275265441949,Lana St,,,Tarragindi,Brisbane City,4121,Moorooka,South Brisbane,Brisbane,SEQ South,Metropolitan,Tarragindi,Nathan,Brisbane - South,Major Cities,Miller,Moreton,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,0,1,0,2,1,0,0,0,0,0,0
125634,125634,Fatal,2007,March,Thursday,23,Head-on,Multi-Vehicle,147.104872490465,-19.5556735923553,Bruce Hwy,,Bruce Highway (Ayr - Townsville),Shirbourne,Burdekin Shire,4809,Giru,Townsville,Northern,Northern,North Queensland,Burdekin,Charters Towers - Ayr - Ingham,Townsville,Outer Regional,Burdekin,Dawson,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,1,0,0,0,1,1,0,1,0,0,0,0
125786,125786,Fatal,2007,September,Thursday,17,Head-on,Multi-Vehicle,152.986083015139,-27.9538838688603,Mt Lindesay Hwy,,Mount Lindesay Highway (Brisbane - Beaudesert),Gleneagle,Scenic Rim Region,4285,Beaudesert,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Dawn/Dusk,Curved - view open,Level,201,Vehs Opposite Approach: Head On,02: Head-on,S,1,1,0,0,2,2,0,0,0,0,0,0
125789,125789,Fatal,2007,September,Friday,16,Angle,Multi-Vehicle,149.895592145709,-25.94520292114,Yeovil Rd,,,Grosmont,Western Downs Region,4419,Wandoan,South West,Southern,Southern,Southern Queensland,Miles - Wandoan,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Remote,Callide,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,406,Vehs Manoeuvring: Leaving Driveway,08: Vehicle Leaving Driveway,W,1,0,0,1,2,1,1,0,0,0,0,0
125863,125863,Fatal,2007,November,Thursday,20,Hit object,Single Vehicle,153.415209452566,-28.0587535240603,Southport - Burleigh Rd,,Southport - Burleigh Road,Robina,Gold Coast City,4226,Broadbeach,Gold Coast,South Eastern,SEQ South,South Coast,Robina,Robina,Gold Coast,Major Cities,Mermaid Beach,Mcpherson,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,N,1,0,0,0,1,0,1,0,0,0,0,0
